Temperature,Humidity,Rainfall,pH,N,P,K,Soil,Crop,Fertilizer
19.93,22.04,117.85,6.3,15.2,57.5,19.1,alluvial,kidneybeans,DAP and MOP
31.43,86.01,52.25,7.04,17.0,59.7,18.0,sandy,mungbean,Urea and DAP
35.4,87.52,26.46,6.26,98.7,15.5,54.8,sandy,muskmelon,Good NPK
25.96,84.42,52.41,6.65,100.5,9.0,50.6,sandy,watermelon,DAP
18.0,21.26,113.84,6.69,17.1,70.6,22.3,sandy,kidneybeans,DAP and MOP
35.77,87.28,23.84,6.02,110.1,15.2,54.2,sandy,muskmelon,Good NPK
31.08,48.94,94.21,6.03,19.3,20.5,31.8,laterite,mango,Urea and DAP
23.94,86.96,234.4,5.71,64.0,44.0,39.8,laterite,rice,Urea and DAP
29.43,63.21,71.88,6.29,18.5,72.9,24.7,clay loam,blackgram,Good NPK
18.85,21.8,103.02,7.3,34.7,65.2,66.6,alluvial,chickpea,DAP and MOP
34.75,86.42,100.07,6.14,98.5,58.4,50.8,alluvial,banana,Good NPK
34.62,69.64,69.8,5.93,22.1,63.6,18.1,alluvial,blackgram,Good NPK
28.71,56.78,154.08,5.51,21.0,66.5,20.6,clay loam,pigeonpeas,Good NPK
35.25,94.3,144.89,6.13,54.4,47.8,48.6,Clayey,papaya,Urea and DAP
28.83,57.33,151.94,6.32,16.9,56.5,22.0,laterite,pigeonpeas,Good NPK
29.83,89.87,49.97,7.13,22.8,64.2,24.9,alluvial,mungbean,Urea and DAP
27.64,93.02,165.95,5.81,5.1,4.4,4.6,coastal,coconut,DAP
23.1,82.33,85.16,7.19,119.0,56.4,19.1,alluvial,cotton,Urea and MOP
10.31,83.8,71.63,6.81,16.5,124.7,207.9,clay loam,grapes,DAP and MOP
21.23,90.14,121.22,6.83,18.1,137.4,209.3,clay loam,apple,DAP and MOP
21.32,72.44,46.3,6.3,22.5,72.9,22.6,alluvial,lentil,DAP and MOP
28.64,86.35,110.4,5.89,92.4,73.5,50.7,Clayey,banana,Good NPK
24.19,83.54,178.49,6.66,75.4,46.4,36.3,silty clay,jute,Urea and DAP
21.38,90.02,118.25,6.52,20.2,141.5,202.4,alluvial,apple,DAP and MOP
18.74,90.74,101.08,5.54,19.5,72.9,36.3,laterite,pomegranate,Urea and MOP
22.01,91.47,121.95,6.81,21.8,131.8,208.5,alluvial,apple,DAP and MOP
31.03,80.8,63.65,7.02,15.2,74.3,18.8,sandy,mungbean,Urea and DAP
36.77,94.28,27.54,6.53,95.6,11.5,50.7,sandy,muskmelon,Good NPK
27.69,62.89,157.17,6.48,114.1,27.4,29.7,alluvial,coffee,Good NPK
26.76,56.71,156.03,6.41,111.3,30.0,34.6,clay loam,coffee,Good NPK
31.13,54.57,150.71,5.48,22.2,55.2,20.9,clay loam,pigeonpeas,Good NPK
23.67,83.63,186.41,6.46,74.3,53.2,37.0,Clayey,jute,Urea and DAP
19.88,19.3,111.11,6.75,19.0,61.3,16.5,alluvial,kidneybeans,DAP and MOP
25.92,79.9,104.19,6.16,90.2,64.6,45.2,clay loam,banana,Good NPK
19.49,57.79,89.96,7.17,88.2,46.2,42.4,alluvial,maize,Good NPK
26.84,86.98,167.99,6.46,66.3,45.0,38.4,silty clay,jute,Urea and DAP
19.19,68.51,100.5,6.88,74.4,51.5,44.2,alluvial,maize,Good NPK
32.23,53.03,152.32,6.67,21.9,60.1,15.1,alluvial,pigeonpeas,Good NPK
32.11,47.96,113.61,6.66,17.9,18.6,34.4,sandy,mango,Urea and DAP
22.01,25.27,128.41,6.34,18.4,74.6,23.6,alluvial,kidneybeans,DAP and MOP
20.63,94.31,102.36,6.35,18.2,69.9,44.7,clay loam,pomegranate,Urea and MOP
26.2,86.02,50.48,6.61,95.0,11.0,53.2,sandy,watermelon,Urea and MOP
28.23,68.19,73.6,6.3,16.3,70.3,17.1,clay loam,blackgram,Good NPK
20.14,56.49,101.67,5.99,86.0,46.8,46.5,alluvial,maize,Good NPK
23.76,84.6,216.03,6.38,64.2,40.8,38.4,Clayey,rice,Urea and DAP
28.78,47.15,49.28,3.56,22.7,40.1,15.0,alluvial,mothbeans,DAP and MOP
24.85,25.54,117.72,6.09,18.7,73.0,23.1,alluvial,kidneybeans,DAP and MOP
26.35,47.91,110.28,5.79,22.9,18.2,32.2,alluvial,mango,Urea and DAP
24.34,77.73,87.02,7.28,115.7,50.3,21.1,clay loam,cotton,Urea and MOP
37.36,91.36,149.85,6.08,54.1,51.6,46.6,alluvial,papaya,Urea and DAP
33.5,47.94,59.27,3.88,17.8,48.9,21.2,laterite,mothbeans,DAP and MOP
24.46,81.27,93.21,6.16,132.2,44.0,23.8,alluvial,cotton,Urea and MOP
30.47,88.9,54.44,6.39,15.6,73.6,15.5,sandy,mungbean,Urea and DAP
26.87,89.25,113.08,6.64,20.6,19.1,13.7,coastal,orange,Good NPK
26.65,81.91,195.21,6.04,64.1,41.1,41.6,alluvial,jute,Urea and DAP
30.14,65.39,72.68,5.88,15.9,68.6,23.8,clay loam,blackgram,Good NPK
29.73,83.78,53.26,6.78,22.1,58.9,19.7,alluvial,mungbean,Urea and DAP
27.99,57.82,154.01,6.29,108.1,33.5,34.4,alluvial,coffee,Good NPK
32.04,84.76,112.94,6.95,99.0,55.2,51.3,Clayey,banana,Good NPK
28.54,57.43,144.62,6.58,20.2,65.7,18.6,clay loam,pigeonpeas,Good NPK
35.27,92.46,142.78,6.38,47.2,48.5,46.0,Clayey,papaya,Urea and DAP
23.04,93.03,122.91,6.35,16.8,138.1,207.2,clay loam,apple,DAP and MOP
18.13,93.0,112.38,6.54,22.5,74.4,42.8,alluvial,pomegranate,Urea and MOP
24.44,68.64,87.13,5.86,82.6,52.3,41.3,alluvial,maize,Good NPK
27.82,49.44,111.83,5.84,17.9,15.2,27.2,alluvial,mango,Urea and DAP
27.02,91.33,179.29,5.08,4.9,4.2,4.2,sandy,coconut,DAP
21.95,93.96,121.44,5.7,16.6,127.3,205.2,clay loam,apple,DAP and MOP
19.98,69.38,49.29,6.82,16.9,72.8,19.3,clay loam,lentil,DAP and MOP
25.73,78.79,185.84,6.39,60.8,55.0,36.0,alluvial,jute,Urea and DAP
30.7,48.15,40.5,5.73,16.6,49.4,20.5,alluvial,mothbeans,DAP and MOP
19.98,66.44,51.22,8.0,22.1,60.0,21.6,alluvial,lentil,DAP and MOP
24.9,93.68,170.69,6.88,5.1,5.6,5.2,coastal,coconut,Urea
25.04,69.99,72.87,6.7,21.7,56.0,16.1,laterite,blackgram,Good NPK
26.17,89.9,179.58,6.97,65.2,48.2,44.9,Clayey,jute,Urea and DAP
31.25,88.08,51.7,6.1,24.4,73.4,23.9,clay loam,mungbean,Urea and DAP
25.06,82.53,87.47,6.44,134.9,47.7,24.1,alluvial,cotton,Urea and MOP
29.07,89.11,46.92,6.82,112.5,10.9,45.5,alluvial,watermelon,Urea and MOP
21.3,93.77,116.65,5.91,17.6,120.1,202.4,laterite,apple,DAP and MOP
11.99,86.33,65.8,6.79,23.1,126.1,204.2,clay loam,grapes,DAP and MOP
26.06,92.08,178.29,7.02,5.8,4.8,4.1,sandy,coconut,MOP
11.64,81.62,74.27,6.55,16.3,141.9,202.7,clay loam,grapes,DAP and MOP
27.12,88.58,58.33,6.39,107.5,14.2,52.8,clay loam,watermelon,Urea and MOP
21.97,89.5,221.01,6.84,71.7,44.0,35.5,Clayey,rice,Urea and DAP
25.64,47.21,103.65,6.52,16.7,21.5,25.3,sandy,mango,Urea and DAP
34.81,52.59,106.1,6.52,20.7,24.0,28.9,alluvial,mango,Urea and DAP
25.99,56.42,162.26,6.32,100.1,26.5,28.5,clay loam,coffee,Good NPK
21.93,91.2,112.31,5.92,20.1,56.5,38.1,clay loam,pomegranate,Urea and MOP
26.42,78.21,110.25,5.66,99.2,64.7,48.1,Clayey,banana,Good NPK
11.6,83.66,71.66,6.34,19.8,128.4,197.3,alluvial,grapes,DAP and MOP
25.23,82.41,170.09,6.41,60.8,44.2,40.3,silty clay,jute,Urea and DAP
26.91,86.94,104.13,7.12,24.8,16.6,12.8,coastal,orange,Good NPK
29.23,79.72,82.1,7.49,132.4,55.5,15.8,clay loam,cotton,Urea and MOP
32.64,45.18,92.16,7.37,18.2,15.4,26.4,alluvial,mango,Urea and DAP
35.84,92.79,154.94,6.85,53.4,42.3,45.7,Clayey,papaya,Urea and DAP
32.4,89.7,21.05,6.77,103.8,12.1,48.8,coastal,muskmelon,Good NPK
29.83,56.66,54.49,5.52,21.2,56.1,23.4,alluvial,mothbeans,DAP and MOP
26.59,79.33,197.57,6.25,78.8,46.9,39.3,silty clay,jute,Urea and DAP
23.69,21.57,72.14,7.07,38.5,58.1,68.5,sandy,chickpea,DAP and MOP
31.65,52.51,40.47,5.43,19.3,48.9,21.2,laterite,mothbeans,DAP and MOP
18.75,90.65,114.2,6.34,21.7,65.9,43.3,clay loam,pomegranate,Urea and MOP
29.54,84.17,45.36,6.96,114.0,10.7,48.3,alluvial,watermelon,Urea and MOP
25.97,47.65,48.88,6.46,17.4,41.9,18.1,sandy,mothbeans,DAP and MOP
26.5,82.47,81.25,7.13,116.0,53.7,17.5,clay loam,cotton,Urea and MOP
37.53,94.99,140.82,6.16,48.6,38.4,46.1,alluvial,papaya,Urea and DAP
26.91,89.06,47.21,6.84,96.6,12.7,54.5,sandy,watermelon,Urea and MOP
25.91,49.78,42.57,3.81,19.2,58.2,17.4,sandy,mothbeans,DAP and MOP
20.96,83.41,263.22,5.67,73.8,38.9,44.4,silty clay,rice,Urea and DAP
26.55,94.14,160.73,7.0,5.6,5.1,5.8,sandy,coconut,DAP
29.03,52.79,42.7,6.49,16.4,48.3,20.5,laterite,mothbeans,DAP and MOP
33.91,53.95,48.59,5.93,15.2,57.2,20.8,alluvial,mothbeans,DAP and MOP
21.42,57.96,85.84,6.46,71.4,54.5,46.5,alluvial,maize,Good NPK
24.88,86.29,246.16,6.82,76.3,37.8,36.2,Clayey,rice,Urea and DAP
25.11,64.88,96.66,6.5,89.5,48.4,41.8,alluvial,maize,Good NPK
25.9,93.92,151.48,5.44,5.3,4.2,4.4,coastal,coconut,DAP
31.21,91.4,110.24,6.26,19.0,17.1,12.2,coastal,orange,Good NPK
18.97,94.48,103.75,6.53,20.4,60.6,35.6,alluvial,pomegranate,Urea and MOP
17.95,22.86,101.31,6.37,16.4,55.2,19.2,alluvial,kidneybeans,DAP and MOP
24.03,89.85,58.43,6.88,112.9,13.2,51.7,sandy,watermelon,Urea and MOP
26.2,80.68,63.58,7.09,23.4,69.8,16.7,alluvial,mungbean,Urea and DAP
26.27,68.67,66.27,6.39,17.4,69.3,23.7,clay loam,blackgram,Good NPK
22.84,85.71,249.05,6.61,66.6,39.3,37.5,laterite,rice,Urea and DAP
25.41,85.2,229.67,6.78,62.3,41.7,40.2,Clayey,rice,Urea and DAP
27.22,76.85,86.13,6.55,130.6,43.8,21.9,clay loam,cotton,Urea and MOP
27.97,83.3,93.58,7.27,120.3,41.2,15.3,Clayey,cotton,Urea and MOP
27.93,49.98,140.62,5.59,15.9,60.7,19.2,clay loam,pigeonpeas,Good NPK
25.28,86.58,109.93,6.25,16.8,23.0,11.7,coastal,orange,Good NPK
32.21,62.57,65.28,6.58,17.7,73.2,21.3,alluvial,blackgram,Good NPK
25.19,72.45,48.31,7.03,17.9,66.7,20.9,sandy,lentil,DAP and MOP
29.47,79.65,104.85,6.22,110.1,67.3,52.5,alluvial,banana,Good NPK
29.25,49.17,102.25,6.83,24.8,16.4,29.3,alluvial,mango,Urea and DAP
18.16,66.95,107.36,6.09,73.1,49.5,45.3,alluvial,maize,Good NPK
21.85,94.06,121.34,5.68,23.9,125.0,206.2,clay loam,apple,DAP and MOP
21.34,94.34,112.5,6.75,21.1,55.8,44.0,clay loam,pomegranate,Urea and MOP
31.39,54.53,97.72,5.7,21.9,22.6,30.3,sandy,mango,Urea and DAP
25.39,79.33,82.52,6.29,130.3,57.7,22.0,alluvial,cotton,Urea and MOP
28.88,81.38,62.14,7.11,15.2,62.2,18.3,clay loam,mungbean,Urea and DAP
25.76,50.42,148.78,5.18,17.5,70.6,16.0,alluvial,pigeonpeas,Good NPK
18.62,19.35,65.97,6.05,41.4,66.8,67.8,alluvial,chickpea,DAP and MOP
23.91,90.42,111.89,6.85,23.4,133.9,205.3,laterite,apple,DAP and MOP
24.35,63.29,149.46,6.0,109.5,26.6,30.2,laterite,coffee,Good NPK
25.63,56.65,146.92,6.64,17.8,68.1,23.2,clay loam,pigeonpeas,Good NPK
23.08,76.55,161.74,6.35,63.1,40.7,40.6,Clayey,jute,Urea and DAP
25.48,84.29,171.63,6.04,60.7,46.7,36.1,Clayey,jute,Urea and DAP
24.91,85.11,199.48,6.57,75.6,47.7,40.3,silty clay,jute,Urea and DAP
35.23,91.54,142.78,6.61,46.6,49.7,49.3,sandy,papaya,Urea and DAP
20.5,68.56,51.95,6.35,18.4,69.4,17.9,sandy,lentil,DAP and MOP
9.32,89.71,73.85,6.92,17.0,134.4,208.9,clay loam,grapes,DAP and MOP
24.7,87.62,245.54,5.86,69.8,44.9,37.4,Clayey,rice,Urea and DAP
26.12,92.46,110.18,6.61,17.2,22.2,14.5,alluvial,orange,Good NPK
29.47,81.23,45.02,6.31,20.3,69.1,17.5,clay loam,mungbean,Urea and DAP
30.27,48.25,98.46,5.82,20.0,15.5,34.4,laterite,mango,Urea and DAP
23.96,26.18,108.14,5.88,19.2,70.2,21.1,alluvial,kidneybeans,DAP and MOP
13.63,89.86,66.13,6.3,20.6,139.7,206.1,alluvial,grapes,DAP and MOP
28.29,86.62,61.24,7.13,23.6,57.7,24.5,clay loam,mungbean,Urea and DAP
29.62,89.81,113.46,7.02,19.2,16.8,15.4,coastal,orange,Good NPK
25.32,54.88,141.55,6.06,15.7,66.9,22.4,laterite,pigeonpeas,Good NPK
32.42,79.54,102.37,6.49,101.6,67.0,46.7,alluvial,banana,Good NPK
20.62,85.35,210.86,5.85,63.6,40.6,43.4,Clayey,rice,Urea and DAP
27.33,46.95,145.33,5.51,23.0,61.5,18.0,alluvial,pigeonpeas,Good NPK
18.87,92.03,108.65,5.67,18.5,68.6,38.7,laterite,pomegranate,Urea and MOP
23.14,60.73,159.45,6.42,97.1,30.5,30.9,laterite,coffee,Good NPK
28.16,89.18,20.94,6.09,109.1,11.9,46.9,alluvial,muskmelon,Good NPK
34.84,69.1,65.53,6.78,16.4,72.2,23.2,alluvial,blackgram,Good NPK
37.14,90.12,153.99,6.68,47.7,35.9,49.3,alluvial,papaya,Urea and DAP
34.53,91.24,140.83,6.38,54.4,50.6,54.2,alluvial,papaya,Urea and DAP
19.59,94.67,111.31,6.58,24.5,57.7,42.7,alluvial,pomegranate,Urea and MOP
19.28,21.26,104.31,6.76,19.3,69.4,20.6,sandy,kidneybeans,DAP and MOP
21.6,16.59,102.87,6.51,45.1,55.4,66.9,alluvial,chickpea,DAP and MOP
27.42,82.03,63.37,7.43,17.4,61.2,19.0,alluvial,mungbean,Urea and DAP
34.99,80.55,46.65,6.87,17.8,60.6,19.0,sandy,mungbean,Urea and DAP
34.07,52.4,103.24,6.59,23.5,15.1,29.0,alluvial,mango,Urea and DAP
33.75,51.63,145.94,6.97,18.1,55.1,16.7,clay loam,pigeonpeas,Good NPK
30.73,93.75,23.62,6.77,111.5,13.9,54.9,alluvial,muskmelon,Good NPK
31.49,48.5,93.35,7.33,22.0,19.2,30.7,sandy,mango,Urea and DAP
34.03,45.37,48.33,4.13,15.6,42.8,15.0,sandy,mothbeans,DAP and MOP
25.16,49.21,140.63,5.42,15.1,63.2,21.5,laterite,pigeonpeas,Good NPK
28.23,85.51,21.42,6.95,99.0,12.4,46.2,coastal,muskmelon,Good NPK
22.37,83.49,260.74,6.59,77.9,44.0,41.3,silty clay,rice,Urea and DAP
20.48,91.46,107.63,6.06,19.7,72.8,41.4,alluvial,pomegranate,Urea and MOP
28.99,86.17,29.6,6.3,103.5,10.7,54.0,sandy,muskmelon,Good NPK
26.28,50.21,145.94,5.87,21.2,73.8,22.8,alluvial,pigeonpeas,Good NPK
23.64,94.17,116.88,6.89,24.0,140.1,199.1,laterite,apple,DAP and MOP
31.08,84.45,49.57,7.11,18.3,70.1,18.9,alluvial,mungbean,Urea and DAP
23.23,82.06,225.31,6.05,63.5,35.9,36.2,Clayey,rice,Urea and DAP
24.53,27.67,125.63,6.09,18.6,69.0,19.0,clay loam,kidneybeans,DAP and MOP
22.22,91.31,121.96,6.97,23.7,138.6,204.9,laterite,apple,DAP and MOP
25.97,82.94,256.6,6.08,68.6,44.7,44.6,laterite,rice,Urea and DAP
29.88,51.98,99.79,6.56,22.9,21.6,26.1,alluvial,mango,Urea and DAP
33.67,91.02,144.43,6.77,54.7,48.4,46.5,alluvial,papaya,Urea and DAP
34.4,56.33,56.57,5.26,19.3,51.9,15.8,alluvial,mothbeans,DAP and MOP
23.16,80.17,86.64,6.97,133.0,54.5,15.3,alluvial,cotton,Urea and MOP
18.79,93.0,107.46,5.55,20.2,68.5,42.8,clay loam,pomegranate,Urea and MOP
28.91,47.38,149.08,5.52,18.9,68.2,18.5,alluvial,pigeonpeas,Good NPK
34.49,92.35,140.69,6.09,52.3,50.1,49.2,alluvial,papaya,Urea and DAP
27.04,66.57,51.19,6.73,15.9,65.2,24.2,alluvial,lentil,DAP and MOP
19.06,56.88,92.91,6.87,82.3,53.0,44.8,alluvial,maize,Good NPK
18.61,28.49,87.27,7.54,45.9,67.9,67.6,clay loam,chickpea,DAP and MOP
37.47,91.03,22.32,6.58,107.0,11.6,48.6,sandy,muskmelon,Good NPK
27.7,84.58,89.06,7.54,129.9,50.9,17.6,clay loam,cotton,Urea and MOP
20.5,27.0,109.63,6.11,21.6,56.8,21.0,alluvial,kidneybeans,DAP and MOP
21.17,21.08,91.78,7.66,38.0,62.3,70.2,clay loam,chickpea,DAP and MOP
34.83,82.5,58.26,6.11,20.1,65.2,16.4,clay loam,mungbean,Urea and DAP
26.24,57.9,154.87,6.42,96.5,28.5,33.2,laterite,coffee,Good NPK
24.31,57.32,153.83,6.15,113.3,34.6,34.3,alluvial,coffee,Good NPK
27.05,94.59,110.79,6.26,21.3,24.1,10.2,clay loam,orange,Good NPK
26.42,89.35,53.82,6.01,109.0,10.0,45.4,alluvial,watermelon,Urea and MOP
27.6,88.58,110.95,6.13,19.7,20.7,14.3,clay loam,orange,Good NPK
11.19,86.62,67.63,7.0,15.6,126.8,208.9,alluvial,grapes,DAP and MOP
24.35,55.43,152.6,6.18,102.5,33.5,26.6,laterite,coffee,Good NPK
28.18,57.72,153.27,6.89,17.7,67.2,21.8,laterite,pigeonpeas,Good NPK
30.57,52.87,98.1,6.58,21.4,24.1,25.2,alluvial,mango,Urea and DAP
23.85,94.98,118.99,6.06,18.5,123.7,204.5,laterite,apple,DAP and MOP
31.8,45.67,109.3,6.69,21.5,19.1,29.1,alluvial,mango,Urea and DAP
20.23,93.6,110.58,6.51,19.9,67.6,42.3,laterite,pomegranate,Urea and MOP
27.32,62.04,150.89,6.01,102.5,32.8,29.5,alluvial,coffee,Good NPK
25.35,56.81,153.11,5.82,23.7,73.3,23.6,clay loam,pigeonpeas,Good NPK
23.31,61.55,154.39,6.23,109.5,32.0,30.6,alluvial,coffee,Good NPK
12.21,85.74,71.68,6.17,21.3,139.9,209.5,laterite,grapes,DAP and MOP
28.66,77.61,84.07,7.6,134.1,43.1,16.9,clay loam,cotton,Urea and MOP
20.09,93.61,102.75,5.62,17.8,72.9,35.2,alluvial,pomegranate,Urea and MOP
36.84,94.48,154.27,6.35,49.6,46.3,51.9,Clayey,papaya,Urea and DAP
22.89,94.93,114.98,6.1,15.8,120.5,204.4,clay loam,apple,DAP and MOP
34.63,69.18,65.79,6.65,17.6,60.9,15.0,alluvial,blackgram,Good NPK
31.2,53.45,152.97,6.25,22.6,55.8,23.4,laterite,pigeonpeas,Good NPK
24.84,83.48,52.67,6.39,112.4,12.3,52.5,alluvial,watermelon,Urea and MOP
36.05,90.24,146.27,6.87,53.7,50.8,51.7,alluvial,papaya,Urea and DAP
27.13,67.82,67.61,5.81,15.6,69.7,20.2,alluvial,blackgram,Good NPK
15.49,85.72,67.1,6.38,18.0,137.8,197.5,clay loam,grapes,DAP and MOP
21.37,69.02,49.97,6.1,15.9,74.0,17.6,alluvial,lentil,DAP and MOP
23.51,85.39,235.43,6.53,65.2,35.2,44.3,laterite,rice,Urea and DAP
25.06,55.97,146.03,6.12,108.8,25.5,28.4,alluvial,coffee,Good NPK
35.36,90.13,150.29,6.09,51.0,40.0,48.3,Clayey,papaya,Urea and DAP
20.17,20.89,82.38,6.63,46.6,72.6,73.6,clay loam,chickpea,DAP and MOP
25.15,64.95,146.86,6.1,110.6,27.0,32.9,alluvial,coffee,Good NPK
26.06,86.36,184.99,6.53,83.1,42.3,40.7,alluvial,jute,Urea and DAP
26.49,56.79,46.84,5.35,25.0,40.2,24.0,alluvial,mothbeans,DAP and MOP
20.41,90.38,109.25,6.6,18.1,72.2,42.0,clay loam,pomegranate,Urea and MOP
33.75,93.29,153.85,6.15,54.1,38.5,53.3,sandy,papaya,Urea and DAP
31.32,47.35,150.75,5.95,21.5,72.8,20.8,laterite,pigeonpeas,Good NPK
22.7,90.39,115.82,5.74,19.7,126.0,205.3,clay loam,apple,DAP and MOP
15.2,21.91,112.35,5.79,17.5,58.3,16.9,clay loam,kidneybeans,DAP and MOP
22.58,91.96,112.26,6.08,21.7,19.3,12.5,coastal,orange,Good NPK
29.79,58.93,49.31,4.5,15.4,54.7,18.4,sandy,mothbeans,DAP and MOP
26.05,82.3,231.48,6.25,67.0,41.5,41.7,Clayey,rice,Urea and DAP
25.71,83.5,49.66,7.29,21.1,61.1,18.3,sandy,mungbean,Urea and DAP
29.25,88.68,52.09,6.63,100.8,10.3,47.4,sandy,watermelon,Urea and MOP
20.87,90.86,113.67,6.63,15.8,70.3,35.7,alluvial,pomegranate,Urea and MOP
25.73,94.55,146.41,5.29,5.6,5.8,5.7,sandy,coconut,Urea
26.33,90.9,175.91,7.51,4.6,4.7,5.5,sandy,coconut,Urea
23.31,89.15,194.19,6.1,61.1,48.8,40.5,alluvial,jute,Urea and DAP
21.64,92.85,102.11,5.58,18.0,56.9,42.6,laterite,pomegranate,Urea and MOP
22.13,24.66,122.83,6.95,22.0,55.1,16.7,alluvial,kidneybeans,DAP and MOP
25.0,54.21,49.15,5.35,23.7,49.0,24.9,alluvial,mothbeans,DAP and MOP
23.01,78.02,166.5,6.59,67.6,44.2,43.6,Clayey,jute,Urea and DAP
21.78,21.12,123.19,6.66,19.6,74.3,20.2,clay loam,kidneybeans,DAP and MOP
20.94,80.63,209.01,6.98,70.7,35.5,38.4,silty clay,rice,Urea and DAP
20.68,70.91,54.41,7.44,16.6,74.0,22.7,alluvial,lentil,DAP and MOP
35.91,90.5,147.51,6.31,46.5,49.9,48.6,sandy,papaya,Urea and DAP
20.01,93.83,107.26,6.15,21.4,66.1,42.4,clay loam,pomegranate,Urea and MOP
24.64,87.09,114.22,7.15,22.6,23.2,9.7,coastal,orange,MOP
18.71,20.86,75.73,7.69,35.5,70.7,79.6,sandy,chickpea,DAP and MOP
23.43,84.47,195.61,6.57,72.8,52.3,44.5,silty clay,jute,Urea and DAP
20.24,93.35,103.85,5.61,23.0,67.6,37.9,clay loam,pomegranate,Urea and MOP
26.58,81.29,86.28,6.84,129.5,57.7,24.2,Clayey,cotton,Urea and MOP
33.0,53.32,52.63,5.98,23.3,51.8,18.5,sandy,mothbeans,DAP and MOP
31.4,88.51,55.85,7.11,19.1,59.8,21.3,alluvial,mungbean,Urea and DAP
10.3,82.63,68.05,5.56,21.4,140.4,203.4,alluvial,grapes,DAP and MOP
25.74,81.15,54.44,7.3,22.3,62.2,15.6,sandy,mungbean,Urea and DAP
19.05,67.68,50.66,7.04,21.9,59.9,24.3,clay loam,lentil,DAP and MOP
29.77,81.36,87.99,7.56,120.1,48.0,23.1,Clayey,cotton,Urea and MOP
20.13,20.93,111.91,6.9,18.4,71.1,20.7,alluvial,kidneybeans,DAP and MOP
29.36,49.52,92.93,5.53,23.1,18.2,26.6,sandy,mango,Urea and DAP
36.34,88.61,21.53,6.61,96.6,14.8,45.9,sandy,muskmelon,Good NPK
18.84,18.39,111.64,5.55,15.3,65.1,24.6,clay loam,kidneybeans,DAP and MOP
26.56,87.06,106.77,7.13,20.7,20.0,11.9,alluvial,orange,Good NPK
31.85,45.37,146.8,5.34,19.5,74.0,15.6,laterite,pigeonpeas,Good NPK
25.81,65.91,92.76,6.99,70.6,47.6,44.6,alluvial,maize,Good NPK
25.35,86.41,166.78,6.18,63.3,52.2,43.1,Clayey,jute,Urea and DAP
24.71,56.95,146.16,6.08,106.5,26.3,27.3,clay loam,coffee,Good NPK
29.55,84.89,94.86,6.79,126.1,49.7,23.4,clay loam,cotton,Urea and MOP
20.4,65.98,98.99,6.0,72.1,46.4,42.6,sandy,maize,Good NPK
18.55,71.67,50.09,7.62,20.6,58.6,16.0,alluvial,lentil,DAP and MOP
15.68,25.84,112.98,5.93,18.3,69.7,19.0,sandy,kidneybeans,DAP and MOP
18.24,92.02,110.47,6.47,17.1,66.3,41.2,alluvial,pomegranate,Urea and MOP
34.64,90.54,144.37,6.94,48.5,50.5,47.6,alluvial,papaya,Urea and DAP
24.46,87.26,226.47,6.96,61.0,40.3,40.4,silty clay,rice,Urea and DAP
33.98,56.65,154.8,5.15,18.0,74.5,16.7,clay loam,pigeonpeas,Good NPK
35.5,87.15,24.2,6.83,106.9,10.6,45.3,alluvial,muskmelon,Good NPK
25.62,88.23,53.03,6.47,23.7,59.4,16.6,alluvial,mungbean,Urea and DAP
15.69,18.06,124.66,6.91,15.4,61.8,21.3,alluvial,kidneybeans,DAP and MOP
21.5,61.73,91.2,5.98,77.3,49.0,47.0,alluvial,maize,Good NPK
26.58,75.53,174.4,6.86,74.6,45.9,36.1,silty clay,jute,Urea and DAP
20.43,20.28,127.28,6.95,19.0,55.8,19.8,sandy,kidneybeans,DAP and MOP
24.81,17.64,86.7,6.81,31.8,68.7,73.2,clay loam,chickpea,DAP and MOP
27.22,85.0,83.13,6.99,123.6,46.6,19.1,Clayey,cotton,Urea and MOP
33.44,49.87,59.23,5.56,19.4,52.6,21.5,sandy,mothbeans,DAP and MOP
22.32,93.36,118.79,5.55,24.2,138.1,204.9,clay loam,apple,DAP and MOP
37.69,92.65,145.08,6.01,47.7,42.7,52.3,Clayey,papaya,Urea and DAP
23.47,94.73,101.97,5.87,20.7,69.3,44.4,laterite,pomegranate,Urea and MOP
26.2,79.0,87.37,7.19,121.9,44.5,21.4,alluvial,cotton,Urea and MOP
27.64,45.12,105.14,6.54,16.9,19.3,31.6,sandy,mango,Urea and DAP
14.26,81.06,67.86,6.5,15.5,129.6,197.4,clay loam,grapes,DAP and MOP
31.87,49.17,97.74,6.8,24.9,23.8,28.9,sandy,mango,Urea and DAP
27.44,59.68,156.56,6.21,99.2,26.9,29.7,clay loam,coffee,Good NPK
24.36,62.42,155.47,6.04,101.9,30.7,34.3,clay loam,coffee,Good NPK
29.21,81.66,83.7,7.29,133.6,54.7,20.6,alluvial,cotton,Urea and MOP
33.78,53.37,40.97,6.38,15.7,51.5,20.7,laterite,mothbeans,DAP and MOP
26.07,94.15,169.85,5.14,5.4,4.9,5.0,sandy,coconut,DAP
27.24,94.71,146.32,6.37,5.5,4.9,5.8,coastal,coconut,DAP
25.38,92.71,176.58,7.25,4.8,5.5,4.9,sandy,coconut,Urea
23.75,92.34,112.13,5.91,16.6,141.5,201.7,laterite,apple,DAP and MOP
26.73,92.5,101.51,6.92,20.9,24.0,8.9,alluvial,orange,MOP
29.83,47.64,94.07,6.21,15.5,16.5,29.1,laterite,mango,Urea and DAP
